qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College Graduate,Graduate Study,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Republican,Independent,Democrat
0,"If the election for president were being held today, and the candidates were Republican Donald Trump, Democrat Joe Biden, Libertarian Jo Jorgenson, for whom would you vote?",Trump,544,271,272,233,154,94,60,23,59,124,110,90,76,499,17,28,57,121,208,148,488,31,10
0,,,0.473,0.535,0.423,0.541,0.490,0.452,0.311,0.258,0.386,0.569,0.601,0.479,0.434,0.670,0.050,0.424,0.370,0.460,0.480,0.538,0.955,0.304,0.019
0,,Biden,540,206,334,175,143,100,122,56,84,90,65,89,92,219,287,34,85,126,201,118,8,44,485
0,,,0.470,0.406,0.519,0.406,0.455,0.481,0.632,0.629,0.549,0.413,0.355,0.473,0.526,0.294,0.849,0.515,0.552,0.479,0.464,0.429,0.016,0.431,0.945
0,,Jorgenson,16,9,7,0,7,4,5,1,3,3,3,2,5,9,6,0,2,7,6,1,3,7,3
0,,,0.014,0.018,0.011,0.000,0.022,0.019,0.026,0.011,0.020,0.014,0.016,0.011,0.029,0.012,0.018,0.000,0.013,0.027,0.014,0.004,0.006,0.069,0.006
0,,Don't know,50,21,30,23,10,10,6,9,7,1,5,7,2,18,28,4,10,9,18,8,12,20,15
0,,,0.044,0.041,0.047,0.053,0.032,0.048,0.031,0.101,0.046,0.005,0.027,0.037,0.011,0.024,0.083,0.061,0.065,0.034,0.042,0.029,0.023,0.196,0.029
1,"If the election for U.S. Senate were being held today, and the candidates were Republican David Perdue, Democrat John Ossoff, Libertarian Shane Hazel, for whom would you vote?",Perdue,541,284,257,229,152,92,65,28,57,113,108,93,84,485,33,23,66,114,210,140,468,32,25
1,,,0.470,0.560,0.400,0.531,0.484,0.442,0.340,0.318,0.375,0.518,0.590,0.495,0.480,0.651,0.097,0.343,0.426,0.435,0.486,0.509,0.916,0.314,0.049
1,,Ossoff,513,173,340,155,142,97,118,40,88,90,67,82,84,215,264,35,74,130,180,116,13,32,463
1,,,0.446,0.341,0.530,0.360,0.452,0.466,0.618,0.455,0.579,0.413,0.366,0.436,0.480,0.289,0.779,0.522,0.477,0.496,0.417,0.422,0.025,0.314,0.903
1,,Hazel,41,21,19,24,6,5,5,9,2,3,3,7,5,12,26,3,9,5,25,2,4,23,13
1,,,0.036,0.041,0.030,0.056,0.019,0.024,0.026,0.102,0.013,0.014,0.016,0.037,0.029,0.016,0.077,0.045,0.058,0.019,0.058,0.007,0.008,0.225,0.025
1,,Don't know,55,29,26,23,14,14,3,11,5,12,5,6,2,33,16,6,6,13,17,17,26,15,12
1,,,0.048,0.057,0.040,0.053,0.045,0.067,0.016,0.125,0.033,0.055,0.027,0.032,0.011,0.044,0.047,0.090,0.039,0.050,0.039,0.062,0.051,0.147,0.023
2,"There will also be a special U.S. Senate election on the ballot this November to fill the vacancy created when Senator Isakson resigned. In this race candidates from all parties will run against one another. If the election for U.S. Senate were being held today, and the candidates were Republican Kelly Loeffler, Republican Doug Collins, Democrat Raphael Warnock, Democrat Matt Lieberman, Democrat Ed Tarver, Libertarian Brian Slowinski, for whom would you vote?",Loeffler,270,136,134,106,76,53,34,16,31,57,47,55,47,245,15,10,19,55,120,69,239,20,5
2,,,0.235,0.268,0.209,0.245,0.241,0.256,0.176,0.180,0.204,0.261,0.258,0.294,0.269,0.329,0.044,0.154,0.123,0.211,0.277,0.251,0.467,0.196,0.010
2,,Collins,235,120,115,116,63,37,19,15,27,50,51,22,30,201,25,9,36,44,85,69,203,19,6
2,,,0.205,0.237,0.179,0.269,0.200,0.179,0.098,0.169,0.178,0.229,0.280,0.118,0.171,0.270,0.074,0.138,0.232,0.169,0.196,0.251,0.396,0.186,0.012
2,,Warnock,234,80,154,66,67,50,51,12,38,53,37,35,36,92,133,9,39,45,86,60,4,8,221
2,,,0.203,0.158,0.240,0.153,0.213,0.242,0.264,0.135,0.250,0.243,0.203,0.187,0.206,0.123,0.391,0.138,0.252,0.172,0.199,0.218,0.008,0.078,0.430
2,,Lieberman,122,50,72,38,35,20,28,16,12,12,13,31,26,55,60,7,8,44,42,23,3,10,110
2,,,0.106,0.099,0.112,0.088,0.111,0.097,0.145,0.180,0.079,0.055,0.071,0.166,0.149,0.074,0.176,0.108,0.052,0.169,0.097,0.084,0.006,0.098,0.214
2,,Tarver,53,11,42,31,7,6,10,9,13,11,5,3,3,16,35,3,1,13,23,14,1,4,48
2,,,0.046,0.022,0.066,0.072,0.022,0.029,0.052,0.101,0.086,0.050,0.027,0.016,0.017,0.021,0.103,0.046,0.006,0.050,0.053,0.051,0.002,0.039,0.093
2,,Slowinski,33,24,9,13,4,6,11,8,2,9,4,3,5,20,8,5,13,9,11,1,12,13,8
2,,,0.029,0.047,0.014,0.030,0.013,0.029,0.057,0.090,0.013,0.041,0.022,0.016,0.029,0.027,0.024,0.077,0.084,0.034,0.025,0.004,0.023,0.127,0.016
2,,Other Candidate,12,5,7,5,5,1,1,5,3,0,2,2,0,6,7,0,2,2,6,2,0,4,8
2,,,0.011,0.010,0.011,0.012,0.016,0.005,0.005,0.056,0.020,0.000,0.011,0.011,0.000,0.008,0.021,0.000,0.013,0.008,0.014,0.007,0.000,0.039,0.016
2,,Don't know,190,81,108,57,58,34,39,8,26,26,23,36,28,110,57,22,37,49,60,37,50,24,108
2,,,0.165,0.160,0.168,0.132,0.184,0.164,0.202,0.090,0.171,0.119,0.126,0.193,0.160,0.148,0.168,0.338,0.239,0.188,0.139,0.135,0.098,0.235,0.210
3,"Do you strongly approve, somewhat approve, somewhat disapprove, or strongly disapprove of the way Donald Trump is handling his job as president?",Strongly approve,447,216,231,209,120,70,47,24,51,102,97,69,57,415,13,19,45,83,179,132,410,21,8
3,,,0.389,0.427,0.359,0.485,0.381,0.337,0.245,0.270,0.336,0.468,0.527,0.367,0.324,0.557,0.038,0.288,0.290,0.316,0.413,0.484,0.802,0.204,0.016
3,,Somewhat approve,109,66,43,36,32,25,16,5,6,14,15,26,16,88,17,5,19,36,30,23,74,19,8
3,,,0.095,0.130,0.067,0.084,0.102,0.120,0.083,0.056,0.039,0.064,0.082,0.138,0.091,0.118,0.050,0.076,0.123,0.137,0.069,0.084,0.145,0.184,0.016
3,,Somewhat disapprove,52,24,28,13,19,14,5,6,8,11,7,7,11,30,14,7,9,14,22,6,17,8,23
3,,,0.045,0.047,0.044,0.030,0.060,0.067,0.026,0.067,0.053,0.050,0.038,0.037,0.063,0.040,0.041,0.106,0.058,0.053,0.051,0.022,0.033,0.078,0.045
3,,Strongly disapprove,529,198,330,165,143,97,123,49,83,91,65,84,92,210,284,34,82,129,195,108,9,49,469
3,,,0.460,0.391,0.513,0.383,0.454,0.466,0.641,0.551,0.546,0.417,0.353,0.447,0.523,0.282,0.840,0.515,0.529,0.490,0.450,0.396,0.018,0.476,0.914
3,,Don't know,13,2,11,8,1,2,1,5,4,0,0,2,0,2,10,1,0,1,7,4,1,6,5
3,,,0.012,0.004,0.017,0.019,0.003,0.010,0.005,0.056,0.026,0.000,0.000,0.011,0.000,0.003,0.030,0.015,0.000,0.004,0.016,0.015,0.002,0.058,0.010
4,"Regardless of how you intend to vote, who do you think would do a better job of handling the economy?",Trump ,617,327,290,266,172,106,71,31,66,125,117,108,88,531,53,33,85,140,229,153,499,57,44
4,,,0.536,0.645,0.451,0.617,0.546,0.507,0.370,0.352,0.431,0.576,0.636,0.574,0.500,0.713,0.156,0.500,0.545,0.534,0.530,0.556,0.975,0.559,0.086
4,,Biden,488,167,321,146,131,95,116,50,81,91,61,70,84,197,262,29,63,115,190,114,7,32,445
4,,,0.424,0.329,0.499,0.339,0.416,0.455,0.604,0.568,0.529,0.419,0.332,0.372,0.477,0.264,0.771,0.439,0.404,0.439,0.440,0.415,0.014,0.314,0.867
4,,Don't know,45,13,32,19,12,8,5,7,6,1,6,10,4,17,25,4,8,7,13,8,6,13,24
4,,,0.040,0.026,0.050,0.044,0.038,0.038,0.026,0.080,0.039,0.005,0.033,0.053,0.023,0.023,0.074,0.061,0.051,0.027,0.030,0.029,0.012,0.127,0.047
5,"Regardless of how you intend to vote, who do you think would do a better job of responding to the coronavirus pandemic?",Trump ,525,267,257,232,148,86,57,20,58,120,103,88,73,475,25,25,66,110,200,139,468,36,11
5,,,0.456,0.527,0.400,0.538,0.471,0.413,0.297,0.225,0.379,0.550,0.563,0.468,0.417,0.638,0.074,0.373,0.423,0.420,0.464,0.505,0.914,0.350,0.021
5,,Biden,556,204,352,165,151,109,128,58,87,94,72,92,98,237,283,36,76,137,210,121,17,46,485
5,,,0.483,0.402,0.548,0.383,0.481,0.524,0.667,0.652,0.569,0.431,0.393,0.489,0.560,0.318,0.835,0.537,0.487,0.523,0.487,0.440,0.033,0.447,0.945
5,,Don't know,70,36,33,34,15,13,7,11,8,4,8,8,4,33,31,6,14,15,21,15,27,21,17
5,,,0.061,0.071,0.051,0.079,0.048,0.063,0.036,0.124,0.052,0.018,0.044,0.043,0.023,0.044,0.091,0.090,0.090,0.057,0.049,0.055,0.053,0.204,0.033
6,"Regardless of how you intend to vote, who do you think would do a better job of addressing racial inequality?",Trump ,473,222,251,207,137,81,47,21,59,113,102,68,60,435,17,21,42,97,189,134,423,30,8
6,,,0.411,0.437,0.391,0.480,0.435,0.389,0.245,0.236,0.388,0.518,0.557,0.362,0.343,0.584,0.050,0.318,0.271,0.370,0.438,0.487,0.826,0.294,0.016
6,,Biden,581,230,351,182,157,110,131,57,85,95,73,99,102,246,295,40,92,137,218,125,31,52,493
6,,,0.505,0.453,0.547,0.422,0.498,0.529,0.682,0.640,0.559,0.436,0.399,0.527,0.583,0.330,0.870,0.606,0.594,0.523,0.505,0.455,0.061,0.510,0.961
6,,Don't know,96,56,40,42,21,17,14,11,8,10,8,21,13,64,27,5,21,28,25,16,58,20,12
6,,,0.083,0.110,0.062,0.097,0.067,0.082,0.073,0.124,0.053,0.046,0.044,0.112,0.074,0.086,0.080,0.076,0.135,0.107,0.058,0.058,0.113,0.196,0.023
7,"How do you plan to vote in this election: absentee by mail, early in-person, or in-person on election-day?",Absentee by mail,307,123,183,131,79,49,48,31,49,58,46,41,37,163,121,22,52,43,94,109,51,29,223
7,,,0.267,0.243,0.285,0.304,0.250,0.234,0.250,0.352,0.322,0.266,0.251,0.218,0.211,0.219,0.357,0.333,0.335,0.164,0.218,0.396,0.100,0.284,0.435
7,,Early,423,164,259,140,116,73,92,31,45,88,66,63,76,278,119,25,48,115,161,95,205,37,171
7,,,0.368,0.323,0.403,0.325,0.367,0.349,0.479,0.352,0.296,0.404,0.361,0.335,0.434,0.373,0.351,0.379,0.310,0.439,0.373,0.345,0.400,0.363,0.333
7,,Election Day,390,209,181,147,114,82,48,22,47,70,69,81,58,289,87,15,55,100,159,65,248,35,99
7,,,0.339,0.412,0.281,0.341,0.361,0.392,0.250,0.250,0.309,0.321,0.377,0.431,0.331,0.388,0.257,0.227,0.355,0.382,0.368,0.236,0.484,0.343,0.193
7,,Don't know,31,11,20,13,7,5,4,4,11,2,2,3,4,15,12,4,0,4,18,6,8,1,20
7,,,0.027,0.022,0.031,0.030,0.022,0.024,0.021,0.045,0.072,0.009,0.011,0.016,0.023,0.020,0.035,0.061,0.000,0.015,0.042,0.022,0.016,0.010,0.039
8,"Overall, how confident are you that the November election will be conducted fairly and accurately? ",Very confident,252,128,124,120,45,41,46,17,42,44,37,42,39,165,82,5,26,52,98,68,111,35,101
8,,,0.219,0.252,0.193,0.278,0.143,0.197,0.240,0.193,0.276,0.202,0.202,0.223,0.223,0.221,0.242,0.075,0.168,0.199,0.227,0.247,0.217,0.343,0.196
8,,Somewhat confident,501,215,286,177,144,96,83,30,73,83,100,85,70,310,162,29,70,117,194,113,208,36,248
8,,,0.436,0.424,0.445,0.410,0.457,0.462,0.432,0.341,0.480,0.381,0.546,0.452,0.400,0.416,0.478,0.433,0.452,0.448,0.449,0.411,0.406,0.353,0.482
8,,Not so confident,257,105,152,81,83,52,41,8,28,70,32,39,49,181,58,19,50,68,78,55,125,10,119
8,,,0.224,0.207,0.236,0.188,0.263,0.250,0.214,0.091,0.184,0.321,0.175,0.207,0.280,0.243,0.171,0.284,0.323,0.261,0.181,0.200,0.244,0.098,0.232
8,,Not at all confident,127,53,74,51,37,19,19,29,9,19,12,22,16,81,34,12,9,21,60,33,61,20,44
8,,,0.110,0.105,0.115,0.118,0.117,0.091,0.099,0.330,0.059,0.087,0.066,0.117,0.091,0.109,0.100,0.179,0.058,0.080,0.139,0.120,0.119,0.196,0.086
8,,Don't know,13,6,7,3,6,0,3,4,0,2,2,0,1,8,3,2,0,3,2,6,7,1,2
8,,,0.012,0.012,0.011,0.007,0.019,0.000,0.016,0.045,0.000,0.009,0.011,0.000,0.006,0.011,0.009,0.030,0.000,0.011,0.005,0.022,0.014,0.010,0.004
9,Do you support or oppose the protests held around the country responding to the death of George Floyd and other black people at the hands of police?,Strongly support,462,192,270,139,131,95,97,33,80,74,67,79,77,200,232,30,87,122,166,74,48,50,361
9,,,0.402,0.379,0.421,0.322,0.417,0.457,0.505,0.371,0.526,0.341,0.368,0.422,0.440,0.268,0.682,0.462,0.561,0.464,0.384,0.269,0.094,0.490,0.705
9,,Somewhat support,190,84,106,60,49,41,39,9,19,29,38,35,36,116,66,8,36,36,76,41,75,19,92
9,,,0.165,0.166,0.165,0.139,0.156,0.197,0.203,0.101,0.125,0.134,0.209,0.187,0.206,0.156,0.194,0.123,0.232,0.137,0.176,0.149,0.146,0.186,0.180
9,,Somewhat oppose,119,59,60,56,30,19,14,18,10,33,15,18,19,101,16,3,18,27,49,25,91,11,14
9,,,0.104,0.116,0.093,0.130,0.096,0.091,0.073,0.202,0.066,0.152,0.082,0.096,0.109,0.136,0.047,0.046,0.116,0.103,0.113,0.091,0.178,0.108,0.027
9,,Strongly oppose,329,148,181,157,94,46,32,24,36,78,60,51,35,297,17,15,7,68,126,121,276,17,25
9,,,0.286,0.292,0.282,0.363,0.299,0.221,0.167,0.270,0.237,0.359,0.330,0.273,0.200,0.399,0.050,0.231,0.045,0.259,0.292,0.440,0.539,0.167,0.049
9,,Don't know,49,24,25,20,10,7,10,5,7,3,2,4,8,31,9,9,7,10,15,14,22,5,20
9,,,0.043,0.047,0.039,0.046,0.032,0.034,0.052,0.056,0.046,0.014,0.011,0.021,0.046,0.042,0.026,0.138,0.045,0.038,0.035,0.051,0.043,0.049,0.039
10,"Which concerns you more, the actions of police against George Floyd and others, or protests that have turned violent?",Police,423,174,249,124,117,83,98,42,66,62,71,67,74,170,221,32,93,121,144,56,28,47,344
10,,,0.368,0.343,0.388,0.288,0.371,0.399,0.510,0.477,0.434,0.284,0.386,0.358,0.420,0.228,0.650,0.485,0.600,0.460,0.333,0.204,0.055,0.461,0.669
10,,Protests,531,243,288,230,150,90,59,33,64,131,88,82,68,447,58,25,32,111,220,156,400,40,83
10,,,0.461,0.478,0.449,0.534,0.476,0.433,0.307,0.375,0.421,0.601,0.478,0.439,0.386,0.601,0.171,0.379,0.206,0.422,0.509,0.567,0.783,0.392,0.161
10,,Both,161,76,85,60,40,31,30,7,19,20,23,37,29,103,53,6,28,29,57,43,68,14,72
10,,,0.140,0.150,0.132,0.139,0.127,0.149,0.156,0.080,0.125,0.092,0.125,0.198,0.165,0.138,0.156,0.091,0.181,0.110,0.132,0.156,0.133,0.137,0.140
10,,Don't know,35,15,20,17,8,4,5,6,3,5,2,1,5,24,8,3,2,2,11,20,15,1,15
10,,,0.030,0.030,0.031,0.039,0.025,0.019,0.026,0.068,0.020,0.023,0.011,0.005,0.028,0.032,0.024,0.045,0.013,0.008,0.025,0.073,0.029,0.010,0.029
11,How confident are you that the police in this country treat white and black people equally? ,Very confident,260,126,134,138,54,37,30,9,21,76,46,48,29,232,16,12,9,62,113,71,221,11,21
11,,,0.226,0.249,0.208,0.320,0.171,0.179,0.155,0.101,0.137,0.349,0.251,0.257,0.167,0.311,0.047,0.182,0.058,0.236,0.261,0.258,0.432,0.107,0.041
11,,Somewhat confident,333,141,192,126,104,61,41,38,47,60,46,52,44,269,52,12,47,55,123,103,218,29,79
11,,,0.290,0.278,0.299,0.292,0.330,0.295,0.212,0.427,0.307,0.275,0.251,0.278,0.253,0.361,0.153,0.182,0.303,0.209,0.284,0.375,0.426,0.282,0.154
11,,Not so confident,194,86,108,61,56,36,42,11,21,33,34,28,42,128,49,17,45,48,57,40,38,14,140
11,,,0.169,0.170,0.168,0.142,0.178,0.174,0.218,0.124,0.137,0.151,0.186,0.150,0.241,0.172,0.145,0.258,0.290,0.183,0.132,0.145,0.074,0.136,0.273
11,,Not at all confident,338,147,191,97,94,69,77,31,60,47,51,56,57,95,221,23,54,95,128,53,23,42,268
11,,,0.294,0.290,0.297,0.225,0.298,0.333,0.399,0.348,0.392,0.216,0.279,0.299,0.328,0.128,0.652,0.348,0.348,0.361,0.296,0.193,0.045,0.408,0.522
11,,Don't know,24,7,18,9,7,4,3,0,4,2,6,3,2,21,1,2,0,3,12,8,12,7,5
11,,,0.021,0.014,0.028,0.021,0.022,0.019,0.016,0.000,0.026,0.009,0.033,0.016,0.011,0.028,0.003,0.030,0.000,0.011,0.028,0.029,0.023,0.068,0.010
12,Do you approve or disapprove of the way Donald Trump is handling the coronavirus outbreak?,Strongly approve,427,202,225,204,112,64,47,21,48,95,90,66,54,395,16,16,43,75,171,130,392,18,10
12,,,0.371,0.398,0.350,0.473,0.356,0.308,0.244,0.236,0.314,0.440,0.492,0.353,0.309,0.529,0.047,0.242,0.279,0.285,0.396,0.474,0.767,0.175,0.019
12,,Somewhat approve,129,81,48,38,45,31,15,4,11,23,21,29,19,101,17,11,24,44,41,18,87,29,4
12,,,0.112,0.160,0.075,0.088,0.143,0.149,0.078,0.045,0.072,0.106,0.115,0.155,0.109,0.135,0.050,0.167,0.156,0.167,0.095,0.066,0.170,0.282,0.008
12,,Somewhat disapprove,59,21,38,20,18,13,8,3,17,7,6,14,6,27,25,7,14,16,20,10,11,9,38
12,,,0.051,0.041,0.059,0.046,0.057,0.063,0.041,0.034,0.111,0.032,0.033,0.075,0.034,0.036,0.074,0.106,0.091,0.061,0.046,0.036,0.022,0.087,0.074
12,,Strongly disapprove,507,186,321,151,137,98,120,51,76,90,64,77,94,211,268,28,64,126,193,109,11,39,452
12,,,0.441,0.367,0.499,0.350,0.435,0.471,0.622,0.573,0.497,0.417,0.350,0.412,0.537,0.283,0.793,0.424,0.416,0.479,0.447,0.398,0.022,0.379,0.881
12,,Don't know,28,17,11,18,3,2,3,10,1,1,2,1,2,12,12,4,9,2,7,7,10,8,9
12,,,0.024,0.034,0.017,0.042,0.010,0.010,0.016,0.112,0.007,0.005,0.011,0.005,0.011,0.016,0.036,0.061,0.058,0.008,0.016,0.026,0.020,0.078,0.018
13,Do you approve or disapprove of Governor Brian Kemp's handling of the coronavirus in Georgia?,Strongly approve,384,207,178,184,94,64,41,12,41,82,80,70,57,342,27,14,40,89,151,98,338,23,14
13,,,0.334,0.407,0.276,0.426,0.298,0.306,0.212,0.136,0.268,0.376,0.437,0.376,0.326,0.459,0.080,0.212,0.256,0.338,0.349,0.356,0.660,0.223,0.027
13,,Somewhat approve,188,79,109,71,64,28,26,23,21,35,26,30,22,144,37,6,18,36,73,59,120,21,42
13,,,0.163,0.156,0.169,0.164,0.203,0.134,0.135,0.261,0.137,0.161,0.142,0.161,0.126,0.193,0.109,0.091,0.115,0.137,0.169,0.215,0.234,0.204,0.082
13,,Somewhat disapprove,111,44,67,22,41,27,21,8,11,12,19,22,20,56,45,10,11,28,42,26,21,11,75
13,,,0.096,0.087,0.104,0.051,0.130,0.129,0.109,0.091,0.072,0.055,0.104,0.118,0.114,0.075,0.133,0.152,0.071,0.106,0.097,0.095,0.041,0.107,0.146
13,,Strongly disapprove,428,152,276,132,110,84,102,44,77,86,53,61,73,181,214,34,68,109,158,83,20,32,374
13,,,0.372,0.299,0.429,0.306,0.349,0.402,0.528,0.500,0.503,0.394,0.290,0.328,0.417,0.243,0.631,0.515,0.436,0.414,0.365,0.302,0.039,0.311,0.728
13,,Don't know,39,26,14,23,6,6,3,1,3,3,5,3,3,22,16,2,19,1,9,9,13,16,9
13,,,0.034,0.051,0.022,0.053,0.019,0.029,0.016,0.011,0.020,0.014,0.027,0.016,0.017,0.030,0.047,0.030,0.122,0.004,0.021,0.033,0.025,0.155,0.018
14,How worried are you that you or someone in your family will be exposed to the coronavirus (COVID-19)? ,Very worried,323,103,221,109,79,65,70,35,55,46,40,44,47,154,153,16,32,64,149,74,52,36,228
14,,,0.281,0.202,0.344,0.253,0.251,0.313,0.365,0.393,0.362,0.211,0.219,0.234,0.269,0.207,0.451,0.242,0.205,0.243,0.345,0.270,0.102,0.353,0.445
14,,Somewhat worried,419,201,218,161,122,69,66,30,53,86,63,78,63,264,120,35,70,116,120,102,165,36,208
14,,,0.364,0.395,0.339,0.374,0.387,0.332,0.344,0.337,0.349,0.394,0.344,0.415,0.360,0.354,0.354,0.530,0.449,0.441,0.278,0.372,0.323,0.353,0.406
14,,Not too worried,199,83,117,73,55,39,31,13,22,44,38,32,28,166,30,3,19,32,90,54,144,12,40
14,,,0.173,0.163,0.182,0.169,0.175,0.188,0.161,0.146,0.145,0.202,0.208,0.170,0.160,0.223,0.088,0.045,0.122,0.122,0.208,0.197,0.282,0.118,0.078
14,,Not worried at all,189,110,79,78,54,34,22,10,21,42,41,31,30,146,32,10,28,49,69,39,138,16,31
14,,,0.164,0.216,0.123,0.181,0.171,0.163,0.115,0.112,0.138,0.193,0.224,0.165,0.171,0.196,0.094,0.152,0.179,0.186,0.160,0.142,0.270,0.157,0.061
14,,Don't know,20,12,8,10,5,1,3,1,1,0,1,3,7,15,4,2,7,2,4,5,12,2,5
14,,,0.017,0.024,0.012,0.023,0.016,0.005,0.016,0.011,0.007,0.000,0.005,0.016,0.040,0.020,0.012,0.030,0.045,0.008,0.009,0.018,0.023,0.020,0.010